iter	Logloss
0	0.6782122462
1	0.6507111133
2	0.6382457435
3	0.6289132689
4	0.6115768417
5	0.5878795415
6	0.5813169357
7	0.5728215425
8	0.5672888584
9	0.5617026667
10	0.5505842219
11	0.5349804767
12	0.5236600035
13	0.514017622
14	0.5122023685
15	0.5109720882
16	0.5042262466
17	0.4952589094
18	0.4872048515
19	0.484940475
20	0.4761032931
21	0.4617304879
22	0.4604896427
23	0.4538294853
24	0.4458641071
25	0.4373227054
26	0.4348518578
27	0.4298800164
28	0.4228284135
29	0.4220776574
30	0.4172812866
31	0.4133685941
32	0.4097552688
33	0.4073612786
34	0.4050586741
35	0.4018847494
36	0.3990528225
37	0.3970074569
38	0.3892926753
39	0.3855358655
40	0.3817418018
41	0.3761624539
42	0.375312694
43	0.3737585503
44	0.3694020917
45	0.3688795706
46	0.3653065403
47	0.3615449598
48	0.3580279071
49	0.3551088333
50	0.3526186421
51	0.3501531572
52	0.3478320345
53	0.3450368657
54	0.343389885
55	0.3424309101
56	0.3412073961
57	0.3398410046
58	0.3370450759
59	0.336710215
60	0.3340945392
61	0.3331222133
62	0.3279132803
63	0.3264024007
64	0.3261796031
65	0.3251063201
66	0.3238848684
67	0.3229074162
68	0.3220319072
69	0.3217639612
70	0.3190749898
71	0.3174367671
72	0.3151975917
73	0.3134210694
74	0.3111859467
75	0.3100082981
76	0.3085611275
77	0.3068856972
78	0.3047971747
79	0.3042459839
80	0.3022762983
81	0.3015105771
82	0.2997752765
83	0.2982598054
84	0.2976775266
85	0.2945334919
86	0.2925752452
87	0.2922049363
88	0.2892098601
89	0.2877707443
90	0.2870696452
91	0.2867226922
92	0.2859030006
93	0.2850149024
94	0.2825967508
95	0.2817766064
