iter	Passed	Remaining
0	1	146
1	3	141
2	5	158
3	7	173
4	9	167
5	10	164
6	13	174
7	15	174
8	17	167
9	18	161
10	20	158
11	22	154
12	23	152
13	25	150
14	27	150
15	30	151
16	31	148
17	33	146
18	35	144
19	37	141
20	39	141
21	41	139
22	43	136
23	44	133
24	46	132
25	48	129
26	49	126
27	51	125
28	53	122
29	55	121
30	57	120
31	59	119
32	61	117
33	63	115
34	64	113
35	66	110
36	67	107
37	69	106
38	71	104
39	73	102
40	75	100
41	76	98
42	78	97
43	80	94
44	82	93
45	83	91
46	85	89
47	87	87
48	89	85
49	90	83
50	92	81
51	94	79
52	96	78
53	98	76
54	100	75
55	102	73
56	104	71
57	107	70
58	109	68
59	110	66
60	112	64
61	113	62
62	115	60
63	117	58
64	119	56
65	121	55
66	123	53
67	125	51
68	126	49
69	128	47
70	130	45
71	132	44
72	134	42
73	135	40
74	137	38
75	139	36
76	141	34
77	143	33
78	144	31
79	147	29
80	148	27
81	150	25
82	152	23
83	154	22
84	156	20
85	158	18
86	160	16
87	161	14
88	163	12
89	165	11
90	167	9
91	168	7
92	170	5
93	172	3
94	173	1
95	175	0
